BluetoothAddress,DeviceId,AccountId,ActivationThreshold,AdvertisingDurationInMilliseconds,AdvertisingIntervalInMilliseconds,IsAutotuneEnabled,BatterySenseIntervalInSeconds,BatteryVoltage,BatteryVoltageThreshold,DisplayName,MagnitudeRMSInMilliGThreshold,FirmwareVersion,GatewayIMEI,HighTemperatureAlarmThresholdInCelsius,IsBatteryGood,IsConnected,IsHighTemperatureAlarmEnabled,IsIndefiniteAdvertisingEnabled,IsInSyncWithPortal,IsLongRangeModeEnabled,IsLowTemperatureAlarmEnabled,IsSensorOfflineAlarmEnabled,LastSeenUtc,Latitude,Longitude,LowTemperatureAlarmThresholdInCelsius,MissedHeartbeatMultiple,NotifyBCExtension,OutputDataRate,ProvisioningState,Scale,SensorAssetTypeId,SensorModelId,SiteId,TemperatureSenseIntervalInSeconds,IsMotionAlarmEnabled,IsLowBatteryAlarmEnabled,IsVibrationSampleEnabled,VibrationIntervalInSeconds,IsVibrationAlarmEnabled,VibrationAlarmThresholdInMilliG,Description,IsLeakAlarmEnabled,LevelReferenceInMillimeters,LeakAlarmLevelThresholdInMillimeters
7D7E9E392CCD,MA1-00344,85a8fb3b-d064-eb11-a812-000d3a09c0c9,35,15000,1000,0,1800,2,2,Mazak Nexus 450-II M Oil Motor Spindle Line MA1-00344,1120,1.0.8,3.5125E+14,30,1,1,1,0,1,1,0,1,30:13.0,53.48139507,-113.4841086,-20,2,0,5,0,1,25,1,cd2ff6b5-f5c9-473a-9ce1-7dfe68538fc3,900,1,0,1,3600,1,7000,CNC Machine-Vibration & Temp-Cable Tie,0,0,0
83CD307A61F3,MA1-01276,55a0919b-3a7c-ef11-ac20-0022483c4e5c,30,15000,1000,0,3600,2,2,HP3- Fan Motor,960,1.0.1,3.5125E+14,85,1,1,1,0,1,1,1,1,37:41.0,49.28189226,-123.1295153,-40,2,0,5,0,1,25,1,2527DD52-F661-42B9-A391-F6042DDAB716,1200,0,0,0,3600,0,0,,0,0,0
894013801ECB,BTAT0008,b1a7a54e-fd59-ec11-8f8e-000d3a09c7d0,15,4000,1000,0,0,2,2,Reset  test,480,1.0.6,3.5125E+14,85,1,0,0,0,1,1,0,0,48:37.0,48.3,-123.5,-40,2,0,5,0,1,,1,b5f34ea9-da8a-ed11-81ad-002248d51dac,120,1,0,1,3600,0,0,,0,100,0
8A7A93A79DFE,MA1-00014,b1a7a54e-fd59-ec11-8f8e-000d3a09c7d0,20,4000,1000,0,60,2,2,MA1-00014,640,1.0.5,3.5125E+14,85,1,0,0,1,0,0,0,1,52:43.0,49.27663236,-123.1126786,-40,2,0,5,0,1,14,1,89805107-7331-ee11-bdf4-000d3af4fe83,900,1,0,0,0,0,0,,0,100,0
8A93A94744E6,MA1-01309,55a0919b-3a7c-ef11-ac20-0022483c4e5c,30,15000,1000,0,3600,2,2,HP02 - Fan Motor,960,1.0.1,3.5125E+14,85,1,1,1,0,1,1,1,1,39:37.0,49.2818102,-123.129591,-40,2,0,5,0,1,25,1,2527DD52-F661-42B9-A391-F6042DDAB716,1200,0,0,0,3600,0,0,,0,0,0
908CDC334EC5,MA1-01297,85a8fb3b-d064-eb11-a812-000d3a09c0c9,20,4000,1000,0,1800,2,2,Karens Sensor 1,640,1.0.8,3.5125E+14,85,1,1,1,1,1,1,1,1,35:26.0,49.27813642,-122.886105,-40,2,0,5,0,1,25,1,305c1fdc-f04f-4d58-93aa-cc5eea9e4f9f,900,1,0,0,0,0,0,,0,0,0
930347D229CD,MA1-00371,85a8fb3b-d064-eb11-a812-000d3a09c0c9,127,15000,1000,0,1800,2,2,Mazak Nexus 450-II M Inner Bearing MA1-00371,4064,1.0.8,3.5125E+14,30,1,1,1,0,1,1,1,1,43:27.0,53.48139507,-113.4841086,0,2,0,5,0,1,25,1,cd2ff6b5-f5c9-473a-9ce1-7dfe68538fc3,900,1,0,1,3600,1,10000,CNC Machine - Vibration - Side Mount & JB Weld,0,0,0
9763B60F71D0,LA1-00006,b1a7a54e-fd59-ec11-8f8e-000d3a09c7d0,15,15000,1000,0,120,3,2,LA1-00006,480,0.0.4,3.5125E+14,85,1,1,0,1,1,1,0,1,10:27.0,49.28588715,-123.1223491,-40,2,0,5,0,1,,2,89805107-7331-ee11-bdf4-000d3af4fe83,0,1,0,0,3600,0,0,,0,100,0
99D8BDF3BFE3,BTAT0050,b1a7a54e-fd59-ec11-8f8e-000d3a09c7d0,30,15000,1000,0,1800,3,2,BTAT0050,960,1.0.5,3.5125E+14,85,1,0,0,1,1,1,0,1,11:03.0,49.62328633,-123,-40,2,0,5,0,1,16,1,89805107-7331-ee11-bdf4-000d3af4fe83,900,0,0,0,3840,0,0,,0,100,0
9C0ADA43A2C2,MA1-01325,85a8fb3b-d064-eb11-a812-000d3a09c0c9,30,4000,1000,0,0,2,2,Nathans Sensor 2,480,1.0.1,3.5125E+14,70,1,1,1,1,1,1,1,1,43:45.0,54.09716362,-116.6175273,-20,2,1,5,0,1,25,1,7ee16989-d9bf-40df-9d9e-696209cf11a9,960,1,0,0,3600,0,0,,0,0,0
