No.,No. 2,Vendor Asset No.,Description,Virtual Asset,Status Code,Condition Code,Active,Critical,Category Code,Type,Manufacturer Code,Model Number,Serial Number,Parent No.,Parent Description,Person/Group Responsible,Notes,Favorite,Open Form Exists,Risk Assessment No.,Max Handout Time (days),In Use,Handed To,Asset Location Code,Asset Location Name,Asset Responsibility Center,Asset Location Address,Asset Location County,Asset Location Country/Region Code,Disable Location Inheritance,Certification Authority,Static Coordinates,Latitude,Longitude,Level,On Transfer Order,In Transit,Installation Date,Lifetime (Years),Expected End Of Life Date,Warranty No.,Warranty Expiration Date,Expiry Notification Date,Warranty Counter Category,Warranty Counter Limit,Warranty Counter Notification Threshold,Number Of Warranties,During Replacement,Replacement Work Order No.,Replacement Asset No.,Connected to Type,Connected to No.,Gen. Bus. Posting Group,Expected Maintenance Strategy,Estimated Cost (h),Ownership Code,Acquisition Date,Acquisition Cost,Current Value,Replacement Cost,Insurance Policy
3210-FD-06,,,Reclaim Apron Feeder No.1,False,IN SERVICE,GREEN TAG,True,True,MECHANICAL,Asset,,,,3210,Coarse Ore Storage and Reclaim Conveyor,,,False,False,,0,False,,COARSE ORE STOCKPILE,Coarse Ore Stockpile & Reclaim,,,,,False,,False,0,0,0,False,False,,0,,,,,,0,0,0,False,,, ,,,,0,,,0,0,0,
3210-FD-12,,,Reclaim Apron Feeder No.2,False,OPERATING,GREEN TAG,True,True,MECHANICAL,Asset,,,,3210,Coarse Ore Storage and Reclaim Conveyor,,,False,False,,0,False,,COARSE ORE STOCKPILE,Coarse Ore Stockpile & Reclaim,,,,,False,,False,0,0,0,False,False,,0,,,,,,0,0,0,False,,, ,,,,0,,,0,0,0,
3210-FN-24,,,SAG Mill Conveyor Dust Collector Fan,False,OPERATING,GREEN TAG,True,False,MECHANICAL,Asset,,,,3210,Coarse Ore Storage and Reclaim Conveyor,,,False,False,,0,False,,COARSE ORE STOCKPILE,Coarse Ore Stockpile & Reclaim,,,,,False,,False,0,0,0,False,False,,0,,,,,,0,0,0,False,,, ,,,,0,,,0,0,0,
3210-MG-50,,,Tramp Steel Magnet,False,OPERATING,GREEN TAG,True,False,MECHANICAL,Asset,,,,3210,Coarse Ore Storage and Reclaim Conveyor,,,False,False,,0,False,,COARSE ORE STOCKPILE,Coarse Ore Stockpile & Reclaim,,,,,False,,False,0,0,0,False,False,,0,,,,,,0,0,0,False,,, ,,,,0,,,0,0,0,
3210-MS-02,,,Coarse Ore Stockpile,False,OPERATING,GREEN TAG,True,False,MECHANICAL,Asset,,,,3210,Coarse Ore Storage and Reclaim Conveyor,,,False,False,,0,False,,COARSE ORE STOCKPILE,Coarse Ore Stockpile & Reclaim,,,,,False,,False,0,0,0,False,False,,0,,,,,,0,0,0,False,,, ,,,,0,,,0,0,0,
3210-MS-03,,,Spile Bars No.1,False,OPERATING,GREEN TAG,True,False,MECHANICAL,Asset,,,,3210,Coarse Ore Storage and Reclaim Conveyor,,,False,False,,0,False,,COARSE ORE STOCKPILE,Coarse Ore Stockpile & Reclaim,,,,,False,,False,0,0,0,False,False,,0,,,,,,0,0,0,False,,, ,,,,0,,,0,0,0,
3210-MS-09,,,Spile Bars No.2,False,OPERATING,GREEN TAG,True,False,MECHANICAL,Asset,,,,3210,Coarse Ore Storage and Reclaim Conveyor,,,False,False,,0,False,,COARSE ORE STOCKPILE,Coarse Ore Stockpile & Reclaim,,,,,False,,False,0,0,0,False,False,,0,,,,,,0,0,0,False,,, ,,,,0,,,0,0,0,
3210-MS-58,,,SAG Mill Conveyor Guarding,False,OPERATING,GREEN TAG,True,False,MECHANICAL,Asset,,,,3210,Coarse Ore Storage and Reclaim Conveyor,,,False,False,,0,False,,COARSE ORE STOCKPILE,Coarse Ore Stockpile & Reclaim,,,,,False,,False,0,0,0,False,False,,0,,,,,,0,0,0,False,,, ,,,,0,,,0,0,0,
3210-PP-30,,,Reclaim Area Sump Pump,False,WO READY,WO READY,True,False,MECHANICAL,Asset,,,,3210,Coarse Ore Storage and Reclaim Conveyor,,,False,False,,0,False,,COARSE ORE STOCKPILE,Coarse Ore Stockpile & Reclaim,,,,,False,,False,0,0,0,False,False,,0,,,,,,0,0,0,False,,, ,,,,0,,,0,0,0,
3210-PV-42,,,Sag Mill Dust Collector Air Receiver,False,OPERATING,GREEN TAG,True,False,MECHANICAL,Asset,,,,3210,Coarse Ore Storage and Reclaim Conveyor,,,False,False,,0,False,,COARSE ORE STOCKPILE,Coarse Ore Stockpile & Reclaim,,,,,False,,False,0,0,0,False,False,,0,,,,,,0,0,0,False,,, ,,,,0,,,0,0,0,
3210-SC-28,,,Weigh Scale - SAG Mill Feed,False,OPERATING,GREEN TAG,True,False,MECHANICAL,Asset,,,,3210,Coarse Ore Storage and Reclaim Conveyor,,,False,False,,0,False,,COARSE ORE STOCKPILE,Coarse Ore Stockpile & Reclaim,,,,,False,,False,0,0,0,False,False,,0,,,,,,0,0,0,False,,, ,,,,0,,,0,0,0,
3210-VR-56,,,SAG Mill Conveyor Dust Collector Rotary Airlock,False,OPERATING,GREEN TAG,True,False,MECHANICAL,Asset,,,,3210,Coarse Ore Storage and Reclaim Conveyor,,,False,False,,0,False,,COARSE ORE STOCKPILE,Coarse Ore Stockpile & Reclaim,,,,,False,,False,0,0,0,False,False,,0,,,,,,0,0,0,False,,, ,,,,0,,,0,0,0,
3300,,,Grinding - (Cost Centre 202),True,OPERATING,,True,False,MECHANICAL,Asset,,,,,,,,False,False,,0,False,,GRINDING,Grinding,,,,,False,,False,0,0,0,False,False,,0,,,,,,0,0,0,False,,, ,,,,0,,,0,0,0,
3310,,,Primary Grinding (SAG Mill),False,WO READY,WO READY,True,False,MECHANICAL,Asset,,,,3300,Grinding - (Cost Centre 202),,,False,False,,0,False,,GRINDING,Grinding,,,,,False,,False,0,0,0,False,False,,0,,,,,,0,0,0,False,,, ,,,,0,,,0,0,0,
3310-BN-08,,,SAG Mill Ball Addition Bin,False,OPERATING,GREEN TAG,True,False,MECHANICAL,Asset,,,,3310,Primary Grinding (SAG Mill),,,False,False,,0,False,,GRINDING,Grinding,,,,,False,,False,0,0,0,False,False,,0,,,,,,0,0,0,False,,, ,,,,0,,,0,0,0,
3310-BN-20,,,SAG Mill Trommel Trash Bin,False,OPERATING,GREEN TAG,True,False,MECHANICAL,Asset,,,,3310,Primary Grinding (SAG Mill),,,False,False,,0,False,,GRINDING,Grinding,,,,,False,,False,0,0,0,False,False,,0,,,,,,0,0,0,False,,, ,,,,0,,,0,0,0,
3310-CH-10,,,Sag Mill Head Chute,False,OPERATING,GREEN TAG,True,False,MECHANICAL,Asset,,,,3310,Primary Grinding (SAG Mill),,,False,False,,0,False,,GRINDING,Grinding,,,,,False,,False,0,0,0,False,False,,0,,,,,,0,0,0,False,,, ,,,,0,,,0,0,0,
3310-CH-12,,,SAG Mill Feed Chute,False,OPERATING,GREEN TAG,True,False,MECHANICAL,Asset,,,,3310,Primary Grinding (SAG Mill),,,False,False,,0,False,,GRINDING,Grinding,,,,,False,,False,0,0,0,False,False,,0,,,,,,0,0,0,False,,, ,,,,0,,,0,0,0,
3310-CH-13,,,SAG Mill Feed Chute Trolley,False,OPERATING,GREEN TAG,True,False,MECHANICAL,Asset,,,,3310,Primary Grinding (SAG Mill),,,False,False,,0,False,,GRINDING,Grinding,,,,,False,,False,0,0,0,False,False,,0,,,,,,0,0,0,False,,, ,,,,0,,,0,0,0,
3310-CH-18,,,SAG Mill Discharge Chute,False,OPERATING,GREEN TAG,True,False,MECHANICAL,Asset,,,,3310,Primary Grinding (SAG Mill),,,False,False,,0,False,,GRINDING,Grinding,,,,,False,,False,0,0,0,False,False,,0,,,,,,0,0,0,False,,, ,,,,0,,,0,0,0,
3310-CH-19,,,SAG Mill Trommel Discharge Chute,False,WO READY,WO READY,True,False,MECHANICAL,Asset,,,,3310,Primary Grinding (SAG Mill),,,False,False,,0,False,,GRINDING,Grinding,,,,,False,,False,0,0,0,False,False,,0,,,,,,0,0,0,False,,, ,,,,0,,,0,0,0,
3310-CU-26,,,SAG Mill Clutch,False,OPERATING,GREEN TAG,True,False,MECHANICAL,Asset,,,,3310,Primary Grinding (SAG Mill),,,False,False,,0,False,,GRINDING,Grinding,,,,,False,,False,0,0,0,False,False,,0,,,,,,0,0,0,False,,, ,,,,0,,,0,0,0,
